gene_name,Asn1,Asn2,Nitrate1,Nitrate2,Ni_N1,Ni_N2,Ni_SM1,Ni_SM2
Phatr3_J42502,110,83,71,82,68,73,82,84
Phatr3_J42503,900,972,666,742,893,823,405,542
Phatr3_J8683,143,117,255,77,101,63,695,732
Phatr3_J42504,543,669,862,1438,1426,1140,494,667
Phatr3_EG01833,0,0,0,0,0,0,0,0
Phatr3_J42505,2574,1951,1382,2065,2044,1972,1138,1265
Phatr3_J31508,552,472,249,442,471,350,207,258
Phatr3_EG02200,5,6,5,2,2,4,9,5
Phatr3_EG02192,16785,14546,21037,21037,24930,16335,5101,6722
Phatr3_J42507,807,697,787,907,1053,826,1608,1783
Phatr3_J31511,621,378,591,374,472,501,466,524
Phatr3_J1598,1422,1019,985,1216,1227,1326,1599,1836
Phatr3_J42510,237,323,345,430,373,283,8918,8892
Phatr3_EG01794,152,110,94,86,142,146,507,566
Phatr3_EG01884,0,0,0,0,0,0,0,0
Phatr3_J42512,3206,1929,1554,1748,2226,2016,3751,3896
Phatr3_EG01811,0,0,0,0,0,0,0,0
Phatr3_EG01762,0,0,0,0,0,0,0,1
Phatr3_J42513,1413,838,811,941,1179,1026,1711,1698
Phatr3_J42514,62,192,81,36,174,36,956,1191
Phatr3_J31518,0,0,0,0,0,0,0,5
Phatr3_J42515,3120,2765,2063,1825,2534,1820,1200,1579
Phatr3_J53939,3401,3098,3174,3445,3824,3043,1442,1911
Phatr3_J24353,4192,7070,4396,6630,8100,4685,2246,2774
Phatr3_J42518,492,389,478,518,472,484,1889,2048
Phatr3_J42519,724,444,615,459,595,601,544,621
Phatr3_J17226,1167,954,985,1100,1209,1085,1140,1372
Phatr3_J31525,1083,958,657,1142,1288,932,648,722
Phatr3_J42521,238,170,164,200,179,220,210,276
Phatr3_J17228,1675,1435,887,1463,1476,1303,764,928
Phatr3_J42523,972,945,704,1151,1125,868,3378,4020
Phatr3_J31529,172,144,121,169,196,186,140,179
Phatr3_J24362,486,359,378,546,513,437,221,231
Phatr3_J6528,792,639,455,667,641,705,367,453
Phatr3_J17238,2038,2293,1013,1607,1884,1349,818,1031
Phatr3_EG02195,0,0,0,0,0,0,0,1
Phatr3_EG02474,0,0,0,0,1,0,0,0
Phatr3_EG01778,0,0,0,0,0,0,0,0
Phatr3_J31535,0,1,0,1,0,0,1,0
Phatr3_J42527,878,838,688,930,955,815,766,856
Phatr3_J31537,0,0,0,0,0,0,6,8
Phatr3_J31539,102,123,164,177,167,178,401,479
Phatr3_J42528,12,11,3,3,6,8,4,12
Phatr3_EG01769,0,0,8,0,6,1,2,5
Phatr3_J42529,270,272,263,452,444,353,631,780
Phatr3_J42530,24,35,43,25,46,32,28,33
Phatr3_J42531,472,514,431,464,548,465,2222,2437
Phatr3_J31544,1967,1632,1599,2094,2625,1825,2126,2347
Phatr3_J9386,3,7,3,8,16,7,5,21
Phatr3_EG01806,3,5,0,10,8,4,25,30
Phatr3_EG01807,990,731,626,650,679,694,1093,1179
Phatr3_J9180,2206,1558,1555,1767,2332,2130,2093,2025
Phatr3_J42534,745,512,872,511,698,551,404,414
Phatr3_J42535,521,291,400,406,280,377,310,374
Phatr3_J9538,9600,11850,4659,7985,8424,6305,3784,4726
Phatr3_EG01766,0,0,0,0,0,0,0,0
Phatr3_EG01776,0,0,0,0,0,0,0,0
Phatr3_EG01784,0,0,0,0,0,0,0,0
Phatr3_J42537,5,6,9,12,8,13,43,27
Phatr3_J51345,524,546,477,542,633,441,238,270
Phatr3_J42538,66,52,63,29,36,28,131,207
Phatr3_J42539,502,418,342,367,410,485,343,361
Phatr3_J9342,1780,1484,1203,1199,1490,1456,1355,1498
Phatr3_J31556,1165,970,890,1202,1146,1143,1220,1447
Phatr3_EG02412,1724,1177,1509,1331,1466,1393,1169,1423
Phatr3_J31559,322,269,376,348,351,310,264,368
Phatr3_J42543,4054,3787,4624,7870,7195,5885,3670,4370
Phatr3_J9185,1954,1497,1785,2068,2232,2690,7185,7333
Phatr3_EG02183,1069,969,958,1189,1218,1097,582,628
Phatr3_EG02182,1631,1445,1079,1395,1487,1134,1415,1809
Phatr3_J42546,996,878,712,1014,976,817,221,311
Phatr3_J42547,4168,3466,2553,3849,4544,2993,2225,3078
Phatr3_J42548,223,242,104,191,138,169,160,158
Phatr3_J17259,2481,2139,1963,2546,2648,2342,1562,1921
Phatr3_J3062,1275,917,796,890,1011,962,799,809
Phatr3_J17265,405,580,763,781,1160,667,829,827
Phatr3_J9546,387,351,281,372,460,333,385,441
Phatr3_J42552,751,606,379,615,759,647,747,922
Phatr3_EG01787,81,64,69,97,76,59,40,54
Phatr3_J83,1752,1227,1017,1439,1601,1443,1111,1238
Phatr3_J31571,731,493,458,435,463,438,678,668
Phatr3_J42555,865,598,630,770,775,733,1460,1647
Phatr3_J42556,444,544,142,140,228,205,169,255
Phatr3_J42557,768,629,484,345,377,444,490,519
Phatr3_J5762,420,523,236,467,399,289,368,385
Phatr3_J42559,1460,1455,1152,1466,1545,1345,642,851
Phatr3_J42560,1724,1189,609,770,970,654,2757,2981
Phatr3_J31578,355,276,248,285,366,335,678,809
Phatr3_J42561,108,76,87,82,120,91,237,291
Phatr3_J17276,1944,2283,1695,2478,2543,1759,1195,1606
Phatr3_J42563,993,832,493,708,799,730,345,366
Phatr3_J42564,271,161,808,916,1106,868,1066,1352
Phatr3_J42565,1537,1476,1223,1480,1697,1509,520,611
EPrPhatr3G00000013101,1,0,3,6,4,4,34,51
Phatr3_J31584,449,433,478,614,768,498,1015,877
Phatr3_J42566,33322,24936,32552,44930,45271,39362,18685,23004
Phatr3_J42567,1782,2561,1028,1505,2153,1130,2406,2607
Phatr3_EG02435,327,126,451,296,666,796,804,932
Phatr3_EG02436,42,27,31,4,17,3,86,109
Phatr3_J42570,1803,2248,452,624,488,628,248,357
Phatr3_EG02165,2141,1125,2402,2090,1389,1817,617,667
Phatr3_EG02170,820,508,439,555,647,544,184,201
Phatr3_EG02437,1074,1199,449,551,576,528,339,419
Phatr3_J9444,1634,1427,1249,2030,2011,1640,531,682
Phatr3_J42574,10050,9029,6534,11126,12223,8101,2329,3085
Phatr3_J31594,533,415,491,658,465,555,357,462
Phatr3_J3211,827,646,500,506,712,661,459,485
Phatr3_J42576,21,10,34,19,29,15,152,177
Phatr3_J42577,4775,2768,3403,4674,5813,4816,1021,1282
Phatr3_J42578,204,213,147,188,273,159,489,488
Phatr3_J31599,1030,845,912,1025,1202,1091,839,999
Phatr3_J9321,2052,1629,867,1364,1844,1438,1407,1505
Phatr3_EG01858,197,85,156,246,187,189,176,345
Phatr3_J51305,46865,22734,49243,87571,84996,73655,2266,3434
Phatr3_J42584,2657,1705,1605,1889,1739,2015,918,1084
Phatr3_EG02197,329,342,224,381,382,293,171,218
Phatr3_EG02191,141,125,144,121,141,113,169,203
Phatr3_J42585,152,154,55,73,82,78,107,95
Phatr3_J42586,68,36,35,29,36,26,1485,1328
Phatr3_J42587,1458,1039,583,920,1015,958,1606,1670
Phatr3_J42588,1880,1382,844,1272,1515,1267,1726,2121
Phatr3_J17300,2668,2214,1420,1891,1730,1806,848,1026
Phatr3_J42590,5676,5110,4222,6163,7047,4751,1857,2365
Phatr3_J42591,1315,963,680,1020,1041,892,2301,2332
Phatr3_J42592,1831,1359,1089,1471,1992,1267,1001,1027
Phatr3_J42593,1250,1247,696,1074,1283,1125,1203,1218
Phatr3_J42594,138,114,162,129,150,128,218,231
Phatr3_J42595,517,403,330,351,369,345,722,756
Phatr3_J31617,397,516,233,206,223,246,167,192
Phatr3_J42596,1412,1213,784,1011,1072,925,1813,1664
Phatr3_J31619,877,948,1206,892,914,828,583,612
Phatr3_J31620,1087,1144,1288,1502,1498,1237,450,476
Phatr3_EG01797,1529,1213,949,1292,1277,1117,475,591
Phatr3_J974,1602,1515,979,1569,1859,1643,1274,1150
Phatr3_J17304,1679,2083,858,1553,1455,1183,816,1003
Phatr3_J9283,1160,1083,631,844,898,815,940,923
Phatr3_J42600,3400,2037,2614,1808,2312,2346,2198,2480
Phatr3_J31625,426,585,277,324,525,361,372,523
Phatr3_J9653,1295,1249,1022,1505,1759,1323,1702,2144
Phatr3_J24439,1415,1323,1056,1240,1363,1242,1261,1364
Phatr3_J42603,95,28,158,236,213,294,1213,1197
Phatr3_J42604,246,246,287,271,550,181,1754,2010
Phatr3_J42605,376,332,323,331,355,294,1206,1367
Phatr3_EG01879,648,752,615,943,984,673,790,949
Phatr3_J42606,2534,2183,1568,2420,2653,1884,1473,1718
Phatr3_J8167,607,429,694,733,685,740,878,1021
Phatr3_J31632,715,545,547,677,701,848,1939,2266
Phatr3_J9123,1979,1368,1277,1440,1667,1506,2214,2324
Phatr3_J42608,476,330,409,335,345,409,281,273
Phatr3_J42609,593,523,283,447,445,390,240,295
Phatr3_EG02202,0,0,0,0,0,0,0,0
Phatr3_EG02185,0,0,0,0,0,0,0,0
Phatr3_J8835,1764,1872,1518,2120,2287,1697,1359,1694
Phatr3_J42611,954,765,793,875,829,888,2499,2957
Phatr3_J42612,12474,10181,13462,16087,17342,14504,4629,6109
Phatr3_J42613,532,374,242,243,370,323,373,409
Phatr3_J42614,2139,1394,1290,1116,1325,1362,679,758
Phatr3_J3241,3598,2827,2689,3421,3715,3218,1682,1838
Phatr3_J42616,1389,925,1206,950,1255,990,717,670
Phatr3_J9327,1222,827,779,1450,1295,1166,2774,2651
Phatr3_EG01793,32,28,14,29,24,17,6,9
Phatr3_J17324,0,0,0,0,0,0,0,0
Phatr3_J9199,5540,6734,5233,8105,7378,6631,1809,2254
Phatr3_J42619,831,763,653,903,1194,813,1176,1224
Phatr3_J17326,42,84,56,124,83,45,10,55
Phatr3_EG01749,7,19,23,38,23,7,7,18
Phatr3_J31649,765,639,881,860,985,761,588,654
Phatr3_J31650,1973,1683,738,653,1392,631,632,823
Phatr3_J41659,1131,1087,908,1180,560,968,441,614
Phatr3_J31652,1003,586,1051,1100,1096,1192,388,407
Phatr3_J17332,2489,2454,2659,2698,2955,2905,1941,2150
Phatr3_J4761,1314,923,738,839,1022,895,305,369
Phatr3_J42624,3620,2365,2643,2431,2930,2631,1805,2132
Phatr3_J42625,1819,1246,1421,1583,1712,1452,1338,1495
Phatr3_J31657,13,21,5,17,13,3,22,25
Phatr3_J31658,88,83,50,96,79,58,105,141
Phatr3_J42626,971,1007,453,445,505,532,1536,1637
Phatr3_J17335,387,157,378,501,384,385,1222,1292
Phatr3_J3851,497,280,804,576,578,453,4464,4709
Phatr3_J31662,596,535,441,516,579,461,219,254
Phatr3_J31663,488,420,366,362,457,388,478,518
Phatr3_J8877,312,427,230,359,409,239,194,221
Phatr3_J31665,916,961,581,590,588,531,760,878
Phatr3_J3171,1492,1410,1203,1452,1711,1407,920,1083
Phatr3_J17344,3708,4631,1107,1293,1724,1051,831,898
Phatr3_J24474,2767,2953,2698,3675,3917,2747,1473,2057
Phatr3_J9278,330,259,242,203,299,266,211,279
Phatr3_J42635,1017,832,1098,975,988,1046,443,443
Phatr3_J42636,1108,882,678,959,922,920,593,640
Phatr3_EG01869,5978,4990,7938,10055,9667,8319,5011,5704
Phatr3_J42638,2648,2317,1773,2420,2205,1736,1596,1991
Phatr3_EG01841,0,0,0,0,0,0,0,0
Phatr3_EG01822,1961,1977,842,1010,1064,1173,642,632
Phatr3_J53961,70,56,22,48,25,44,36,40
Phatr3_J8407,1238,794,722,775,888,848,2069,2179
Phatr3_J42642,373,306,214,244,291,212,249,217
Phatr3_J42643,1858,1201,1146,1457,1525,1410,1207,1327
Phatr3_J42644,389,204,265,275,296,374,750,778
Phatr3_J42645,249,166,191,240,237,236,159,253
Phatr3_J42646,564,471,416,624,637,524,261,339
Phatr3_J42647,1373,869,1511,1152,1218,1639,384,397
Phatr3_J31683,77547,82255,77040,114816,121018,94739,18322,21775
Phatr3_J31684,270,320,262,317,312,329,361,388
Phatr3_EG01814,266,215,187,246,287,193,216,265
Phatr3_J42649,568,581,503,680,782,504,441,655
Phatr3_J42650,1598,1204,1256,1501,1664,1484,891,793
Phatr3_J17362,1700,1462,1692,2088,2368,1639,1751,1988
Phatr3_J24493,882,1247,646,834,1042,751,3236,3458
Phatr3_EG02175,1,1,4,9,5,2,13,9
Phatr3_EG02169,1132,860,774,618,738,717,1305,1677
Phatr3_EG02171,1567,1099,1324,1357,1407,1545,624,708
Phatr3_J42654,1932,1795,1517,1932,2072,1722,968,1131
Phatr3_EG01818,672,482,473,522,602,605,853,874
Phatr3_J9639,315,315,234,381,465,311,312,346
Phatr3_J42656,258,314,389,341,398,343,2550,2858
Phatr3_J31693,77,61,145,225,213,156,2186,2888
Phatr3_J8663,634,733,557,589,630,514,932,1174
Phatr3_J9197,648,749,634,757,840,555,423,515
Phatr3_J9168,215,362,288,362,421,248,135,215
Phatr3_J17372,753,901,734,873,1068,669,527,669
Phatr3_J42658,849,669,531,632,819,641,501,605
Phatr3_J42659,1746,1819,2100,3265,2782,2274,1682,1987
Phatr3_J5466,1455,1337,2017,2508,2388,2179,602,690
Phatr3_J42660,304,269,299,334,348,313,548,544
Phatr3_EG01774,273,174,191,208,213,215,138,182
Phatr3_J53964,1738,1341,1043,1342,1391,1310,2503,2557
Phatr3_J42663,1455,1276,1058,1358,1443,1177,901,1055
Phatr3_EG02403,3404,2918,2142,2701,2797,2541,1149,1447
Phatr3_EG01821,6,4,5,9,9,4,10,8
Phatr3_J31704,606,533,706,926,916,620,233,254
Phatr3_EG01809,67,74,29,58,61,52,29,45
Phatr3_EG02479,0,0,0,0,0,0,0,0
Phatr3_EG02434,850,911,630,940,927,823,501,599
Phatr3_J42668,693,646,386,574,707,536,385,497
Phatr3_J5889,708,637,719,652,868,861,677,856
Phatr3_J42670,354,397,299,429,364,338,202,241
Phatr3_J42671,476,464,349,391,523,437,205,268
Phatr3_J42672,958,1021,449,650,755,706,460,557
Phatr3_J42673,3776,3242,2243,3741,3433,3058,1288,1518
Phatr3_J31713,273,317,255,419,343,317,154,161
Phatr3_J8658,1962,1347,1016,1104,1152,1182,907,936
Phatr3_J42675,1519,1331,1180,1542,1559,1416,865,959
Phatr3_J42676,287,330,235,290,336,290,284,336
Phatr3_J42677,2621,1886,2755,2794,3463,2806,1093,1191
Phatr3_J31718,1458,2053,584,581,541,581,363,425
Phatr3_J53967,142,142,78,90,146,63,912,1189
Phatr3_J9164,783,842,766,886,1112,677,426,555
Phatr3_J42680,375,313,295,362,411,332,158,160
Phatr3_J31722,243,225,214,194,237,231,264,216
Phatr3_J9251,1182,773,875,931,877,862,756,894
Phatr3_J17401,3778,3517,2674,2793,3386,2728,1485,1712
Phatr3_J31725,941,1180,222,390,323,360,356,411
Phatr3_J42683,1195,1031,604,920,763,775,2133,2295
Phatr3_J1550,1469,1163,753,1044,1115,1046,523,690
Phatr3_J42685,248,161,194,169,202,188,634,625
Phatr3_J42686,34,37,33,72,55,31,163,195
Phatr3_J42687,1312,1013,788,1068,1160,1007,1703,1837
Phatr3_J31731,1044,830,673,839,740,1007,862,960
Phatr3_EG02466,1887,1554,1198,1679,2169,1805,1719,2190
Phatr3_J42689,15697,8949,6853,7692,10108,8169,5656,6280
Phatr3_J42690,624,382,427,523,652,594,1799,1651
Phatr3_J53969,2924,1320,1598,2213,2338,1964,641,744
Phatr3_J17408,2806,2094,1777,2133,2261,2191,1339,1428
Phatr3_J6915,1732,927,685,655,858,810,419,581
Phatr3_J42694,1992,1373,963,1237,1525,1225,982,1203
Phatr3_J41667,829,581,554,814,711,715,654,821
Phatr3_J31740,330,329,267,301,318,275,186,200
Phatr3_J31741,78,88,82,120,93,65,74,71
Phatr3_J8976,2118,2353,2098,2436,2452,2197,1189,1475
Phatr3_EG02477,20474,23053,21270,24969,25458,25130,6194,8061
Phatr3_J42697,3953,2912,2539,2930,2738,3318,1137,1166
Phatr3_J42698,841,633,403,600,559,547,419,440
Phatr3_J42699,369,412,209,369,555,343,446,434
Phatr3_J24547,2015,1958,1371,2206,2249,1693,1558,1752
Phatr3_J31748,996,735,691,737,869,940,371,425
Phatr3_J42701,581,461,394,632,603,536,441,528
Phatr3_EG02470,280,282,739,688,845,639,496,449
Phatr3_J9200,2113,1741,1599,1600,1693,1719,4086,4398
Phatr3_EG02473,333,333,347,379,350,284,647,716
Phatr3_J31753,134,124,151,162,126,120,116,151
Phatr3_EG02172,926,1275,763,1059,1387,976,1239,1343
Phatr3_EG02178,897,973,878,717,1133,670,1177,1245
Phatr3_J9277,183,185,141,174,208,134,662,770
Phatr3_J42708,172,127,88,79,153,101,366,433
Phatr3_J9547,709,579,530,666,490,585,450,538
Phatr3_J8720,3080,3494,4196,5805,5336,4675,1392,1806
Phatr3_EG01773,2653,2299,4140,4834,4752,4155,1201,1487
Phatr3_J9427,127,122,146,218,165,177,299,333
Phatr3_J9490,1775,1493,882,921,1011,1315,2355,2241
Phatr3_J42712,6372,4753,5736,6077,6159,6002,6395,7384
Phatr3_J31763,538,435,390,482,381,446,263,369
Phatr3_J31764,297,243,135,191,235,191,1364,1556
Phatr3_J8686,23468,21323,25077,21445,22538,24850,7812,9264
Phatr3_EG02471,1750,1301,1112,1258,1589,1524,1661,1617
Phatr3_J6927,1111,1063,751,861,927,913,923,1095
Phatr3_J31768,965,1031,862,881,851,1012,309,310
Phatr3_J6258,1272,1470,435,700,498,693,172,159
Phatr3_J8940,779,807,560,854,1113,787,290,368
Phatr3_J9011,747,620,640,712,788,746,436,476
Phatr3_J31772,101,58,91,88,122,85,217,236
Phatr3_J42720,1257,958,816,1032,1192,1111,458,648
Phatr3_J42721,4219,3449,2568,4351,4782,3447,1235,1464
Phatr3_J42722,892,825,708,592,946,592,765,904
Phatr3_EG02478,116,156,91,173,242,167,151,182
Phatr3_EG02480,13,36,23,47,51,9,12,35
Phatr3_EG02433,2008,1584,1742,1931,2240,1768,886,1082
Phatr3_J1784,458,617,629,860,1084,653,2095,2365
Phatr3_J31778,703,656,618,582,784,655,683,851
Phatr3_J8717,686,670,677,1015,900,753,855,1022
Phatr3_J42726,4661,3896,2157,3993,3531,3439,978,1194
Phatr3_J31781,242,194,97,142,147,143,39,45
Phatr3_J3362,2588,1902,1657,1925,1905,1846,3321,3641
Phatr3_J8950,6524,4923,6713,8789,9346,6901,2112,2826
Phatr3_EG01868,0,0,0,0,0,0,0,0
Phatr3_J42729,964,840,495,679,736,751,706,653
Phatr3_EG02463,1888,1541,1522,1602,1771,1790,2184,2458
Phatr3_J8657,765,527,451,418,528,514,468,521
Phatr3_J42732,223,172,268,332,242,309,216,265
Phatr3_J9040,1493,1587,1754,3005,2750,1896,1612,1955
Phatr3_J9255,1780,1753,1643,1849,1889,1948,711,804
Phatr3_J42734,212,216,435,792,1011,536,325,533
Phatr3_J42735,1415,1075,997,1014,1172,1217,695,877
Phatr3_EG02467,893,665,682,754,773,771,651,711
Phatr3_J3527,438,297,329,396,379,461,513,570
Phatr3_EG02468,598,591,512,591,634,510,949,1060
Phatr3_EG02476,673,578,579,639,698,696,527,497
Phatr3_J42740,520,414,401,457,506,532,598,668
Phatr3_EG02469,943,777,698,1166,1012,834,776,897
Phatr3_J42742,4737,3751,8235,5957,7314,6517,3242,3964
Phatr3_J42743,1322,1118,747,1149,1310,1024,400,437
Phatr3_EG01876,0,0,0,0,0,0,0,0
Phatr3_J42744,197,187,134,201,297,242,197,241
Phatr3_J8917,582,535,459,634,815,646,449,626
Phatr3_J42746,231,186,293,407,437,342,340,338
Phatr3_J24610,14997,16407,15908,25135,25944,19278,3928,4651
Phatr3_EG01852,5214,4614,5161,6702,6871,6302,2212,3102
Phatr3_J9266,184,142,176,215,197,214,58,74
Phatr3_J42749,2497,1962,1802,2363,2385,2168,1404,1597
Phatr3_J42750,1075,710,628,886,718,842,291,372
Phatr3_EG02465,1635,1074,1174,1141,1265,1570,3138,3187
Phatr3_EG02475,1028,756,803,603,756,809,1375,1396
Phatr3_EG02481,1404,1223,825,1286,1575,1109,467,465
Phatr3_EG02472,2262,1863,1516,1526,1849,1871,1406,1492
Phatr3_J31810,237,266,230,391,365,263,1114,1503
Phatr3_J31811,2162,1931,2414,2873,2343,2617,1013,1144
Phatr3_J41676,1161,793,1743,2977,2614,2231,375,527
Phatr3_J42754,3365,2971,2291,2973,3271,2908,1544,1919
Phatr3_J42755,2826,3455,861,1022,1304,1835,2317,2839
Phatr3_EG01783,0,0,0,0,0,0,0,0
Phatr3_J31815,0,1,0,0,0,1,0,0
Phatr3_EG01861,0,0,0,0,0,0,0,3
Phatr3_J31816,374,405,222,354,439,352,200,193
Phatr3_J42756,1523,1269,963,1089,1281,1121,1306,1366
Phatr3_J42757,7093,6699,6629,8990,8902,7563,3069,4303
Phatr3_J31819,382,490,228,284,357,213,170,153
Phatr3_J42758,4251,3169,2399,3407,3828,3239,2596,2704
Phatr3_J8772,3863,3045,2915,4699,4085,4619,2842,2878
Phatr3_EG01875,0,0,0,0,0,0,0,0
Phatr3_J31822,155,115,190,75,94,134,62,105
Phatr3_J17487,1895,2579,1285,1932,2130,1732,715,880
Phatr3_J8993,969,896,718,833,792,761,556,694
Phatr3_EG01853,149,128,154,244,243,284,494,522
Phatr3_J42762,525,580,257,676,621,481,3590,3462
Phatr3_J6580,337,397,380,442,595,428,259,302
Phatr3_J31827,402,610,373,737,799,463,272,408
Phatr3_J42763,1140,890,569,846,910,663,1277,1497
Phatr3_J6934,2319,1486,1195,1483,1690,1574,1076,1283
Phatr3_J9609,6863,5604,3289,4038,4437,4153,5426,6346
